0,93,5,26
0,5,4,13
0,71,4,29
0,6,4,19
0,86,5,18
0,96,5,27
0,4,4,23
0,81,4,19
0,62,1,35
0,8,1,24
0,10,1,1
0,18,5,49
0,38,1,33
0,65,5,48
0,51,5,40
1,33,3,35
1,51,2,14
1,18,1,45
1,6,2,49
1,36,3,29
1,76,3,26
1,55,2,22
2,51,1,14
2,76,5,9
2,28,2,44
2,52,4,45
2,44,3,1
2,9,5,48
2,10,4,36
2,31,1,10
2,57,5,5
2,25,1,22
2,35,4,37
2,36,1,15
2,17,3,44
2,39,2,1
2,16,4,43
2,78,3,18
2,41,5,48
2,49,1,17
2,92,2,33
2,4,1,32
3,33,5,12
3,30,5,2
3,78,5,44
3,15,1,18
4,75,3,12
4,3,2,45
4,36,3,15
4,10,4,1
4,98,1,17
4,88,3,35
4,47,3,16
5,81,5,36
5,21,2,50
5,44,2,44
5,54,3,14
5,59,3,29
5,14,5,43
5,4,1,25
5,78,5,16
5,76,1,31
5,40,5,27
5,90,3,6
5,5,5,40
5,98,5,24
5,36,4,41
5,45,2,6
5,41,2,19
5,87,4,27
6,54,2,45
6,57,4,45
6,0,4,21
6,53,5,13
6,65,3,6
6,21,1,50
6,47,3,49
6,40,4,45
6,83,3,47
7,93,4,3
7,25,2,18
7,98,1,44
7,10,1,35
7,80,3,33
7,24,5,45
7,13,2,37
7,85,4,37
7,42,4,5
7,99,4,9
7,23,5,25
7,89,2,27
7,88,4,22
7,65,2,34
7,16,5,24
7,22,2,8
8,0,4,25
8,73,4,40
8,24,5,33
8,91,1,33
8,6,5,9
8,38,3,29
8,7,4,15
9,90,4,34
9,28,4,30
9,34,1,23
9,8,5,30
9,70,3,9
9,47,1,38
9,48,4,16
9,1,3,29
9,21,2,14
9,32,2,49
9,30,4,35
9,87,3,25
10,81,1,42
10,8,3,13
10,34,1,31
10,46,5,34
10,36,5,27
10,64,5,33
11,0,5,13
11,47,3,17
11,33,1,22
11,76,1,34
11,62,5,24
11,71,1,30
11,63,3,25
11,57,2,3
11,95,5,38
11,89,3,20
11,93,1,44
11,90,4,20
11,14,4,4
11,69,4,42
12,61,2,17
12,65,3,39
12,30,4,39
12,92,4,5
12,3,3,47
12,77,2,31
12,98,3,46
12,39,2,48
12,1,3,35
13,56,3,27
13,78,5,17
13,80,4,7
13,21,5,4
13,55,3,17
13,73,4,6
13,53,3,35
13,52,2,4
13,91,1,20
13,59,4,48
14,75,5,26
14,94,1,47
14,33,4,2
14,28,3,50
14,24,4,30
14,85,5,9
15,27,2,38
15,46,5,25
15,30,3,42
15,43,4,10
15,85,4,16
16,57,5,17
16,67,4,1
16,78,4,18
16,72,3,7
16,90,5,12
16,98,1,26
16,26,3,16
16,74,5,36
16,47,3,18
16,2,1,44
16,45,2,25
16,95,4,33
16,84,3,39
16,36,3,10
16,39,5,18
16,43,1,29
16,11,5,33
17,43,3,27
17,66,1,26
17,74,3,0
17,73,2,36
17,98,2,0
17,95,2,24
17,31,3,47
17,40,2,14
17,60,2,31
17,33,1,12
17,80,2,12
17,79,2,25
17,13,2,22
17,6,1,3
17,81,3,4
17,51,5,43
17,64,1,47
17,29,1,13
18,71,3,30
18,39,5,4
18,54,2,45
18,21,5,16
18,83,1,0
19,38,5,19
19,16,4,45
19,64,4,13
19,98,1,14
20,19,3,44
20,80,4,19
20,48,4,1
20,28,1,38
20,42,3,39
20,67,3,33
20,4,3,22
20,17,5,14
20,52,1,31
20,66,3,32
20,49,5,28
20,24,2,10
21,49,5,6
21,12,3,15
